date	bat	vlt
2014-11-02T08:35	1	13.7
2014-11-04T20:35	1	13.4
2014-11-07T08:35	1	13.6
2014-11-09T20:35	1	13.6
2014-11-12T08:35	1	13.6
2014-11-14T20:35	1	13.6
2014-11-17T08:35	2	13.6
2014-11-19T20:35	2	13.6
2014-11-22T08:35	2	13.6
2014-11-24T20:35	2	13.6
2014-11-27T08:35	2	13.6
2014-11-29T20:35	3	13.6
2014-12-02T08:35	3	13.6
2014-12-04T20:35	3	13.6
2014-12-07T08:35	3	13.6
2014-12-09T20:35	3	13.3
2014-12-12T08:35	3	13.6
2014-12-14T20:35	4	13.6
2014-12-17T08:35	4	13.6
2014-12-19T20:35	4	13.6
2014-12-22T08:35	4	13.6
2014-12-24T20:35	4	13.6
2014-12-27T08:35	5	13.6
2014-12-29T20:35	5	13.6
2015-01-01T08:35	5	13.6
2015-01-03T20:35	5	13.6
2015-01-06T08:35	5	13.6
2015-01-08T20:35	5	13.6
2015-01-11T08:35	6	13.6
2015-01-13T20:35	6	13.6
2015-01-16T08:35	6	13.6
2015-01-18T20:35	6	13.6
2015-01-21T08:35	6	13.6
2015-01-23T20:35	7	13.6
2015-01-26T08:35	7	13.6
2015-01-28T20:35	7	13.6
2015-01-31T08:35	7	13.6
2015-02-02T20:35	7	13.6
2015-02-05T08:35	7	13.6
2015-02-07T20:35	8	13.6
2015-02-10T08:35	8	13.6
2015-02-12T20:35	8	13.6
2015-02-15T08:35	8	13.6
2015-02-17T20:35	8	13.6
2015-02-20T08:35	8	13.5
2015-02-22T20:35	9	13.6
2015-02-25T08:35	9	13.6
2015-02-27T20:35	9	13.6
2015-03-02T08:35	9	13.6
2015-03-04T20:35	9	13.6
2015-03-07T08:35	10	13.6
2015-03-09T20:35	10	13.6
2015-03-12T08:35	10	13.6
2015-03-14T20:35	10	13.6
2015-03-17T08:35	11	13.5
2015-03-19T20:35	11	13.4
2015-03-22T08:35	11	13.6
2015-03-24T20:35	11	13.6
2015-03-27T08:35	11	13.6
2015-03-29T20:35	12	13.6
2015-04-01T08:35	12	13.6
2015-04-03T20:35	12	13.6
2015-04-06T08:35	12	13.6
2015-04-08T20:35	12	13.6
2015-04-11T08:35	12	13.6
2015-04-13T20:35	13	13.6
2015-04-16T08:35	13	13.6
2015-04-18T20:35	13	13.6
2015-04-21T08:35	13	13.6
2015-04-23T20:35	13	13.6
2015-04-26T08:35	14	13.6
2015-04-28T20:35	14	13.6
2015-05-01T08:35	14	13.6
2015-05-03T20:35	14	13.6
2015-05-06T08:35	14	13.6
2015-05-08T20:35	14	13.6
2015-05-11T08:35	15	13.6
2015-05-13T20:35	15	13.6
2015-05-16T08:35	15	13.6
2015-05-18T20:35	15	13.6
2015-05-21T08:35	15	13.6
2015-05-23T20:35	15	13.6
2015-05-26T08:35	16	13.6
2015-05-28T20:35	16	13.6
2015-05-31T08:35	16	13.6
2015-06-02T20:35	16	13.5
2015-06-05T08:35	16	13.3
2015-06-07T20:35	17	13.6
2015-06-10T08:35	17	13.6
2015-06-12T20:35	17	13.6
2015-06-15T08:35	17	13.6
2015-06-17T20:35	17	13.6
2015-06-20T08:35	17	13.6
2015-06-22T20:35	18	13.6
2015-06-25T08:35	18	13.6
2015-06-27T20:35	18	13.6
2015-06-30T08:35	18	13.6
2015-07-02T20:35	18	13.6
2015-07-05T08:35	19	13.6
2015-07-07T20:35	19	13.6
2015-07-10T08:35	19	13.6
2015-07-12T20:35	19	13.6
2015-07-15T08:35	19	13.6
2015-07-17T20:35	19	13.6
2015-07-20T08:35	20	13.6
2015-07-22T20:35	20	13.5
2015-07-25T08:35	20	13.6
2015-07-27T20:35	20	13.6
