date	bat	vlt
2014-11-13T04:15	2	13.6
2014-11-15T16:15	2	13.6
2014-11-18T04:15	2	13.6
2014-11-20T16:15	2	13.6
2014-11-23T04:15	3	13.6
2014-11-25T16:15	3	13.6
2014-11-28T04:15	3	13.6
2014-11-30T16:15	3	13.6
2014-12-03T04:15	3	13.6
2014-12-05T16:15	3	13.6
2014-12-08T04:15	4	13.6
2014-12-10T16:15	4	13.6
2014-12-13T04:15	4	13.6
2014-12-15T16:15	4	13.5
2014-12-18T04:15	4	13.6
2014-12-20T16:15	5	13.6
2014-12-23T04:15	5	13.6
2014-12-25T16:15	5	13.6
2014-12-28T04:15	5	13.6
2014-12-30T16:15	5	13.6
2015-01-02T04:15	5	13.6
2015-01-04T16:15	6	13.6
2015-01-07T04:15	6	13.6
2015-01-09T16:15	6	13.6
2015-01-12T04:15	6	13.6
2015-01-14T16:15	6	13.6
2015-01-17T04:15	7	13.6
2015-01-19T16:15	7	13.6
2015-01-22T04:15	7	13.6
2015-01-24T16:15	7	13.6
2015-01-27T04:15	7	13.6
2015-01-29T16:15	8	13.6
2015-02-01T04:15	8	13.6
2015-02-03T16:15	8	13.6
2015-02-06T04:15	8	13.6
2015-02-08T16:15	8	13.6
2015-02-11T04:15	8	13.6
2015-02-13T16:15	9	13.6
2015-02-16T04:15	9	13.6
2015-02-18T16:15	9	13.6
2015-02-21T04:15	9	13.7
2015-02-23T16:15	10	13.6
2015-02-26T04:15	10	13.6
2015-02-28T16:15	10	13.7
2015-03-03T04:15	10	13.6
2015-03-05T16:15	10	13.7
2015-03-08T04:15	11	13.7
2015-03-10T16:15	11	13.7
2015-03-13T04:15	11	13.7
2015-03-15T16:15	11	13.7
2015-03-18T04:15	11	13.7
2015-03-20T16:15	12	13.7
2015-03-23T04:15	12	13.7
2015-03-25T16:15	12	13.7
2015-03-28T04:15	12	13.7
2015-03-30T16:15	12	13.7
2015-04-02T04:15	12	13.7
2015-04-04T16:15	13	13.7
2015-04-07T04:15	13	13.7
2015-04-09T16:15	13	13.7
2015-04-12T04:15	13	13.7
2015-04-14T16:15	13	13.7
2015-04-17T04:15	14	13.7
2015-04-19T16:15	14	13.7
2015-04-22T04:15	14	13.7
2015-04-24T16:15	14	13.6
2015-04-27T04:15	14	13.7
2015-04-29T16:15	14	13.7
2015-05-02T04:15	15	13.7
2015-05-04T16:15	15	13.7
2015-05-07T04:15	15	13.7
2015-05-09T16:15	15	13.7
2015-05-12T04:15	15	13.7
2015-05-14T16:15	16	13.7
2015-05-17T04:15	16	13.7
2015-05-19T16:15	16	13.7
2015-05-22T04:15	16	13.7
2015-05-24T16:15	16	13.7
2015-05-27T04:15	16	13.7
2015-05-29T16:15	17	13.5
2015-06-01T04:15	17	13.7
2015-06-03T16:15	17	13.7
2015-06-06T04:15	17	13.7
2015-06-08T16:15	17	13.7
2015-06-11T04:15	18	13.7
2015-06-13T16:15	18	13.7
2015-06-16T04:15	18	13.7
2015-06-18T16:15	18	13.7
2015-06-21T04:15	18	13.7
2015-06-23T16:15	19	13.5
2015-06-26T04:15	19	13.7
2015-06-28T16:15	19	13.7
2015-07-01T04:15	19	13.7
2015-07-03T16:15	20	13.7
2015-07-06T04:15	20	13.7
2015-07-08T16:15	20	13.7
2015-07-11T04:15	20	13.7
2015-07-13T16:15	20	13.7
2015-07-16T04:15	20	13.7
2015-07-18T16:15	21	13.7
2015-07-21T04:15	21	13.7
2015-07-23T16:15	21	13.7
2015-07-26T04:15	21	13.7
2015-07-28T16:15	21	13.7
2015-07-31T04:15	22	13.7
2015-08-02T16:15	22	13.7
2015-08-05T04:15	22	13.7
2015-08-07T16:15	22	13.7
2015-08-10T04:15	22	13.7
2015-08-12T16:15	23	13.7
2015-08-15T04:15	23	13.7
2015-08-17T16:15	23	13.7
2015-08-20T04:15	23	13.7
2015-08-22T16:15	23	13.7
2015-08-25T04:15	23	13.5
2015-08-27T16:15	24	13.7
2015-08-30T04:15	24	13.5
2015-09-01T16:15	24	13.7
2015-09-04T04:15	24	13.7
2015-09-06T16:15	24	13.7
2015-09-09T04:15	25	13.7
2015-09-11T16:15	25	13.7
2015-09-14T04:15	25	13.7
2015-09-16T16:15	25	13.7
2015-09-19T04:15	25	13.7
2015-09-21T16:15	25	13.7
2015-09-24T04:15	26	13.7
2015-09-26T16:15	26	13.7
2015-09-29T04:15	26	13.7
2015-10-01T16:15	26	13.7
2015-10-04T04:15	26	13.7
2015-10-06T16:15	27	13.7
2015-10-09T04:15	27	13.7
2015-10-11T16:15	27	13.7
2015-10-14T04:15	27	13.7
2015-10-16T16:15	27	13.7
2015-10-19T04:15	27	13.7
2015-10-21T16:15	28	13.7
2015-10-24T04:15	28	13.7
