date	pitch	roll
2015-01-25T10:55	-8.93814160404	-5.2712117152
2015-01-26T06:55	-8.93814160404	-5.21391593569
2015-01-27T02:55	-8.93814160404	-5.21391593569
2015-01-27T22:55	-8.93814160404	-5.2712117152
2015-01-28T18:55	-9.11002894258	-5.21391593569
2015-01-29T14:55	-9.11002894258	-5.21391593569
2015-01-30T10:55	-9.11002894258	-5.2712117152
2015-01-31T06:55	-8.93814160404	-5.2712117152
2015-02-01T02:55	-8.93814160404	-5.2712117152
2015-02-01T22:55	-8.93814160404	-5.2712117152
2015-02-02T18:55	-9.11002894258	-5.2712117152
2015-02-03T14:55	-8.93814160404	-5.2712117152
2015-02-04T10:55	-8.93814160404	-5.2712117152
2015-02-05T06:55	-9.11002894258	-5.21391593569
2015-02-06T02:55	-9.05273316307	-5.2712117152
2015-02-06T22:55	-9.05273316307	-5.2712117152
2015-02-07T18:55	-9.05273316307	-5.32850749472
2015-02-08T14:55	-9.11002894258	-5.2712117152
2015-02-09T10:55	-8.93814160404	-5.2712117152
2015-02-10T06:55	-9.11002894258	-5.21391593569
2015-02-11T02:55	-9.11002894258	-5.21391593569
2015-02-11T22:55	-9.11002894258	-5.78687373082
2015-02-12T18:55	-9.11002894258	-5.21391593569
2015-02-13T14:55	-8.93814160404	-5.2712117152
2015-02-14T10:55	-9.11002894258	-5.2712117152
2015-02-15T06:55	-8.93814160404	-5.2712117152
2015-02-16T02:55	-8.93814160404	-5.2712117152
2015-02-16T22:55	-8.93814160404	-5.21391593569
2015-02-17T18:55	-9.11002894258	-5.84416951033
2015-02-18T14:55	-9.11002894258	-5.78687373082
2015-02-19T10:55	-9.11002894258	-5.21391593569
2015-02-20T06:55	-8.93814160404	-5.78687373082
2015-02-21T02:55	-8.93814160404	-5.78687373082
2015-02-21T22:55	-8.93814160404	-5.21391593569
2015-02-22T18:55	-8.88084582453	-5.21391593569
2015-02-23T14:55	-9.11002894258	-5.78687373082
2015-02-24T10:55	-8.93814160404	-5.84416951033
2015-02-25T06:55	-8.93814160404	-5.78687373082
2015-02-26T02:55	-8.88084582453	-5.21391593569
2015-02-26T22:55	-8.93814160404	-5.78687373082
2015-02-27T18:55	-8.93814160404	-5.15662015618
2015-02-28T14:55	-8.93814160404	-5.21391593569
2015-03-01T10:55	-8.93814160404	-5.21391593569
2015-03-02T06:55	-9.11002894258	-5.78687373082
2015-03-03T02:55	-8.93814160404	-5.78687373082
2015-03-03T22:55	-8.93814160404	-5.15662015618
2015-03-04T18:55	-8.93814160404	-5.78687373082
2015-03-05T14:55	-8.88084582453	-5.15662015618
2015-03-06T10:55	-8.93814160404	-5.15662015618
