date	bat	vlt
2014-10-31T15:15	1	13.7
2014-11-03T03:15	2	13.7
2014-11-05T15:15	2	13.7
2014-11-08T03:15	2	13.6
2014-11-10T15:15	2	13.7
2014-11-13T03:15	2	13.7
2014-11-15T15:15	2	13.7
2014-11-18T03:15	3	13.7
2014-11-20T15:15	3	13.7
2014-11-23T03:15	3	13.7
2014-11-25T15:15	3	13.7
2014-11-28T03:15	3	13.7
2014-11-30T15:15	4	13.7
2014-12-03T03:15	4	13.7
2014-12-05T15:15	4	13.7
2014-12-08T03:15	4	13.7
2014-12-10T15:15	4	13.7
2014-12-13T03:15	5	13.7
2014-12-15T15:15	5	13.7
2014-12-18T03:15	5	13.7
2014-12-20T15:15	5	13.7
2014-12-23T03:15	5	13.6
2014-12-25T15:15	5	13.7
2014-12-28T03:15	6	13.5
2014-12-30T15:15	6	13.7
2015-01-02T03:15	6	13.6
2015-01-04T15:15	6	13.5
2015-01-07T03:15	6	13.7
2015-01-09T15:15	7	13.7
2015-01-12T03:15	7	13.6
2015-01-14T15:15	7	13.4
2015-01-17T03:15	7	13.7
2015-01-19T15:15	7	13.6
2015-01-22T03:15	8	13.7
2015-01-24T15:15	8	13.7
2015-01-27T03:15	8	13.7
2015-01-29T15:15	8	13.7
2015-02-01T03:15	8	13.7
2015-02-03T15:15	9	13.7
2015-02-06T03:15	9	13.7
2015-02-08T15:15	9	13.7
2015-02-11T03:15	9	13.7
2015-02-13T15:15	9	13.7
2015-02-16T03:15	9	13.7
2015-02-18T15:15	10	13.7
2015-02-21T03:15	10	13.7
2015-02-23T15:15	10	13.5
2015-02-26T03:15	11	13.7
2015-02-28T15:15	11	13.7
2015-03-03T03:15	11	13.7
2015-03-05T15:15	11	13.7
2015-03-08T03:15	11	13.7
2015-03-10T15:15	11	13.7
2015-03-13T03:15	12	13.7
2015-03-15T15:15	12	13.7
2015-03-18T03:15	12	13.7
2015-03-20T15:15	12	13.7
2015-03-23T03:15	12	13.7
2015-03-25T15:15	13	13.7
2015-03-28T03:15	13	13.7
2015-03-30T15:15	13	13.7
2015-04-02T03:15	13	13.7
2015-04-04T15:15	13	13.7
2015-04-07T03:15	14	13.5
2015-04-09T15:15	14	13.7
2015-04-12T03:15	14	13.7
2015-04-14T15:15	14	13.7
2015-04-17T03:15	14	13.7
2015-04-19T15:15	15	13.7
2015-04-22T03:15	15	13.7
2015-04-24T15:15	15	13.7
2015-04-27T03:15	15	13.5
2015-04-29T15:15	15	13.7
2015-05-02T03:15	15	13.7
2015-05-04T15:15	16	13.7
2015-05-07T03:15	16	13.7
2015-05-09T15:15	16	13.7
2015-05-12T03:15	16	13.7
2015-05-14T15:15	16	13.7
2015-05-17T03:15	17	13.7
2015-05-19T15:15	17	13.7
2015-05-22T03:15	17	13.7
2015-05-24T15:15	17	13.5
2015-05-27T03:15	17	13.7
2015-05-29T15:15	18	13.7
2015-06-01T03:15	18	13.7
2015-06-03T15:15	18	13.6
2015-06-06T03:15	18	13.7
2015-06-08T15:15	18	13.7
2015-06-11T03:15	19	13.7
2015-06-13T15:15	19	13.7
2015-06-16T03:15	19	13.7
2015-06-18T15:15	19	13.7
2015-06-21T03:15	19	13.7
2015-06-23T15:15	19	13.7
2015-06-26T03:15	20	13.7
2015-06-28T15:15	20	13.7
2015-07-01T03:15	20	13.7
2015-07-03T15:15	20	13.7
2015-07-06T03:15	20	13.6
2015-07-08T15:15	21	13.7
2015-07-11T03:15	21	13.7
2015-07-13T15:15	21	13.7
2015-07-16T03:15	21	13.7
2015-07-18T15:15	21	13.7
2015-07-21T03:15	22	13.7
2015-07-23T15:15	22	13.7
2015-07-26T03:15	22	13.7
2015-07-28T15:15	22	13.7
2015-07-31T03:15	22	13.7
2015-08-02T15:15	22	13.7
2015-08-05T03:15	23	13.7
2015-08-07T15:15	23	13.7
2015-08-10T03:15	23	13.7
2015-08-12T15:15	23	13.7
2015-08-15T03:15	23	13.7
2015-08-17T15:15	24	13.7
2015-08-20T03:15	24	13.7
2015-08-22T15:15	24	13.7
2015-08-25T03:15	24	13.7
2015-08-27T15:15	25	13.7
2015-08-30T03:15	25	13.7
2015-09-01T15:15	25	13.7
2015-09-04T03:15	25	13.6
2015-09-06T15:15	25	13.7
2015-09-09T03:15	26	13.7
2015-09-11T15:15	26	13.7
2015-09-14T03:15	26	13.7
2015-09-16T15:15	26	13.5
2015-09-19T03:15	26	13.7
2015-09-21T15:15	27	13.7
2015-09-24T03:15	27	13.7
2015-09-26T15:15	27	13.7
2015-09-29T03:15	27	13.7
2015-10-01T15:15	27	13.7
2015-10-04T03:15	28	13.7
2015-10-06T15:15	28	13.7
2015-10-09T03:15	28	13.7
2015-10-11T15:15	28	13.7
2015-10-14T03:15	28	13.7
2015-10-16T15:15	28	13.7
2015-10-19T03:15	29	13.7
2015-10-21T15:15	29	13.7
2015-10-24T03:15	29	13.7
2015-10-26T15:15	29	13.7
2015-10-29T03:15	29	13.7
2015-10-31T15:15	30	13.7
2015-11-03T03:15	30	13.7
2015-11-05T15:15	30	13.7
2015-11-08T03:15	30	13.6
2015-11-10T15:15	30	13.7
2015-11-13T03:15	31	13.7
2015-11-15T15:15	31	13.5
2015-11-18T03:15	31	13.7
2015-11-20T15:15	31	13.7
2015-11-23T03:15	31	13.7
2015-11-25T15:15	32	13.7
2015-11-28T03:15	32	13.7
2015-11-30T15:15	32	13.7
2015-12-03T03:15	32	13.7
2015-12-05T15:15	32	13.7
2015-12-08T03:15	33	13.7
2015-12-10T15:15	33	13.7
2015-12-13T03:15	33	13.7
2015-12-15T15:15	33	13.7
2015-12-18T03:15	34	13.7
2015-12-20T15:15	34	13.7
2015-12-23T03:15	34	13.7
2015-12-25T15:15	34	13.7
2015-12-28T03:15	34	13.7
2015-12-30T15:15	35	13.7
2016-01-02T03:15	35	13.7
2016-01-04T15:15	35	13.7
2016-01-07T03:15	35	13.7
2016-01-09T15:15	36	13.7
2016-01-12T03:15	36	13.7
2016-01-14T15:15	36	13.7
2016-01-17T03:15	36	13.7
2016-01-19T15:15	36	13.7
2016-01-22T03:15	37	13.7
2016-01-24T15:15	37	13.7
2016-01-27T03:15	37	13.7
