date	bat	vlt
2014-10-31T15:07	0	13.7
2014-10-31T16:55	0	13.8
2014-11-03T04:55	0	13.7
2014-11-05T16:55	1	13.7
2014-11-08T04:55	1	13.7
2014-11-10T16:55	1	13.7
2014-11-13T04:55	1	13.7
2014-11-15T16:55	1	13.7
2014-11-16T10:55	1	13.7
2014-11-18T22:55	2	13.7
2014-11-21T10:55	2	13.7
2014-11-23T22:55	2	13.7
2014-11-26T10:55	2	13.7
2014-11-28T22:55	2	13.6
2014-12-01T10:55	3	13.7
2014-12-03T22:55	3	13.7
2014-12-06T10:55	3	13.7
2014-12-08T22:55	3	13.7
2014-12-11T10:55	3	13.6
2014-12-13T22:55	3	13.7
2014-12-16T10:55	4	13.7
2014-12-18T22:55	4	13.6
2014-12-21T10:55	4	13.6
2014-12-23T22:55	4	13.6
2014-12-26T10:55	4	13.4
2014-12-28T22:55	5	13.6
2014-12-31T10:55	5	13.7
2015-01-02T22:55	5	13.6
2015-01-05T10:55	5	13.6
2015-01-07T22:55	5	13.6
2015-01-10T10:55	5	13.4
2015-01-12T22:55	6	13.7
2015-01-15T10:55	6	13.7
2015-01-17T22:55	6	13.7
2015-01-20T10:55	6	13.7
2015-01-22T22:55	6	13.7
2015-01-25T10:55	7	13.7
2015-01-27T22:55	7	13.6
2015-01-30T10:55	7	13.7
2015-02-01T22:55	7	13.7
2015-02-04T10:55	7	13.7
2015-02-06T22:55	7	13.7
2015-02-09T10:55	8	13.7
2015-02-11T22:55	8	13.7
2015-02-14T10:55	8	13.7
2015-02-16T22:55	8	13.7
2015-02-19T10:55	8	13.7
2015-02-21T22:55	9	13.7
2015-02-24T10:55	9	13.7
2015-02-26T22:55	9	13.7
2015-03-01T10:55	9	13.7
2015-03-03T22:55	10	13.7
2015-03-06T10:55	10	13.7
2015-03-08T22:55	10	13.7
2015-03-11T10:55	10	13.7
2015-03-13T22:55	10	13.7
2015-03-16T10:55	11	13.7
2015-03-18T22:55	11	13.7
2015-03-21T10:55	11	13.7
2015-03-23T22:55	11	13.7
2015-03-26T10:55	11	13.7
2015-03-28T22:55	11	13.5
2015-03-31T10:55	12	13.7
2015-04-02T22:55	12	13.7
2015-04-05T10:55	12	13.7
2015-04-07T22:55	12	13.7
2015-04-10T10:55	12	13.5
2015-04-12T22:55	13	13.7
2015-04-15T10:55	13	13.4
2015-04-17T22:55	13	13.7
2015-04-20T10:55	13	13.7
2015-04-22T22:55	13	13.7
2015-04-25T10:55	13	13.7
2015-04-27T22:55	14	13.5
2015-04-30T10:55	14	13.7
2015-05-02T22:55	14	13.7
2015-05-05T10:55	14	13.7
2015-05-07T22:55	14	13.7
2015-05-10T10:55	15	13.5
2015-05-12T22:55	15	13.7
2015-05-15T10:55	15	13.7
2015-05-17T22:55	15	13.7
2015-05-20T10:55	15	13.7
2015-05-22T22:55	15	13.7
2015-05-25T10:55	16	13.7
2015-05-27T22:55	16	13.7
2015-05-30T10:55	16	13.7
2015-06-01T22:55	16	13.7
2015-06-04T10:55	16	13.7
2015-06-06T22:55	17	13.7
2015-06-09T10:55	17	13.7
2015-06-11T22:55	17	13.7
2015-06-14T10:55	17	13.7
2015-06-16T22:55	17	13.7
2015-06-19T10:55	18	13.7
2015-06-21T22:55	18	13.7
2015-06-24T10:55	18	13.7
2015-06-26T22:55	18	13.7
2015-06-29T10:55	18	13.7
2015-07-01T22:55	18	13.5
2015-07-04T10:55	19	13.7
2015-07-06T22:55	19	13.7
2015-07-09T10:55	19	13.7
2015-07-11T22:55	19	13.7
2015-07-14T10:55	19	13.7
2015-07-16T22:55	20	13.7
2015-07-19T10:55	20	13.7
2015-07-21T22:55	20	13.7
2015-07-24T10:55	20	13.6
2015-07-26T22:55	20	13.5
2015-07-29T10:55	20	13.7
2015-07-31T22:55	21	13.7
2015-08-03T10:55	21	13.7
2015-08-05T22:55	21	13.7
2015-08-08T10:55	21	13.7
2015-08-10T22:55	22	13.7
2015-08-13T10:55	22	13.7
2015-08-15T22:55	22	13.7
2015-08-18T10:55	22	13.7
2015-08-20T22:55	22	13.7
2015-08-23T10:55	23	13.7
2015-08-25T22:55	23	13.7
2015-08-28T10:55	23	13.7
2015-08-30T22:55	23	13.7
2015-09-02T10:55	23	13.7
2015-09-04T22:55	24	13.6
2015-09-07T10:55	24	13.7
2015-09-09T22:55	24	13.7
2015-09-12T10:55	24	13.7
2015-09-14T22:55	24	13.7
2015-09-17T10:55	24	13.7
2015-09-19T22:55	25	13.7
2015-09-22T10:55	25	13.7
2015-09-24T22:55	25	13.7
2015-09-27T10:55	25	13.7
2015-09-29T22:55	25	13.7
2015-10-02T10:55	26	13.7
2015-10-04T22:55	26	13.7
2015-10-07T10:55	26	13.7
2015-10-09T22:55	26	13.7
2015-10-12T10:55	26	13.7
2015-10-14T22:55	26	13.7
2015-10-17T10:55	27	13.7
2015-10-19T22:55	27	13.7
2015-10-22T10:55	27	13.7
2015-10-24T22:55	27	13.7
2015-10-27T10:55	27	13.7
2015-10-29T22:55	28	13.7
2015-11-01T10:55	28	13.7
2015-11-03T22:55	28	13.7
2015-11-06T10:55	28	13.7
2015-11-08T22:55	28	13.7
2015-11-11T10:55	28	13.7
2015-11-13T22:55	29	13.7
2015-11-16T10:55	29	13.7
2015-11-18T22:55	29	13.6
2015-11-21T10:55	29	13.7
2015-11-23T22:55	29	13.7
2015-11-26T10:55	30	13.7
2015-11-28T22:55	30	13.7
2015-12-01T10:55	30	13.7
2015-12-03T22:55	30	13.7
2015-12-06T10:55	30	13.6
2015-12-08T22:55	30	13.7
2015-12-11T10:55	31	13.7
2015-12-13T22:55	31	13.7
2015-12-16T10:55	31	13.7
2015-12-18T22:55	31	13.6
2015-12-21T10:55	31	13.7
2015-12-23T22:55	32	13.7
2015-12-26T10:55	32	13.7
2015-12-28T22:55	32	13.6
2015-12-31T10:55	32	13.6
2016-01-02T22:55	32	13.7
2016-01-05T10:55	32	13.7
2016-01-07T22:55	33	13.7
2016-01-10T10:55	33	13.7
2016-01-12T22:55	33	13.7
2016-01-15T10:55	33	13.7
2016-01-17T22:55	33	13.7
2016-01-20T10:55	34	13.7
2016-01-22T22:55	34	13.7
2016-01-25T10:55	34	13.7
2016-01-27T22:55	34	13.5
2016-01-30T10:55	34	13.7
2016-02-01T22:55	35	13.7
2016-02-04T10:55	35	13.7
2016-02-06T22:55	35	13.7
2016-02-09T10:55	35	13.7
2016-02-11T22:55	35	13.7
2016-02-14T10:55	35	13.7
2016-02-16T22:55	36	13.7
2016-02-19T10:55	36	13.5
2016-02-21T22:55	36	13.7
2016-02-24T10:55	36	13.7
2016-02-26T22:55	37	13.7
2016-02-29T10:55	37	13.7
2016-03-02T22:55	37	13.7
2016-03-05T10:55	37	13.7
2016-03-07T22:55	37	13.7
2016-03-10T10:55	38	13.7
2016-03-12T22:55	38	13.7
2016-03-15T10:55	38	13.7
2016-03-17T22:55	38	13.7
2016-03-20T10:55	38	13.7
2016-03-22T22:55	39	13.5
2016-03-25T10:55	39	13.7
2016-03-27T22:55	39	13.7
2016-03-30T10:55	39	13.7
2016-04-01T22:55	39	13.5
2016-04-04T10:55	39	13.7
2016-04-06T22:55	40	13.7
2016-04-09T10:55	40	13.7
2016-04-11T22:55	40	13.7
2016-04-14T10:55	40	13.7
2016-04-16T22:55	40	13.7
2016-04-19T10:55	41	13.7
2016-04-21T22:55	41	13.7
2016-04-24T10:55	41	13.7
2016-04-26T22:55	41	13.7
2016-04-29T10:55	41	13.7
2016-05-01T22:55	41	13.7
2016-05-04T10:55	42	13.7
2016-05-06T22:55	42	13.5
2016-05-09T10:55	42	13.7
2016-05-11T22:55	42	13.7
2016-05-14T10:55	42	13.7
2016-05-16T22:55	43	13.7
2016-05-19T10:55	43	13.7
2016-05-21T22:55	43	13.7
2016-05-24T10:55	43	13.7
2016-05-26T22:55	43	13.7
2016-05-29T10:55	44	13.7
2016-05-31T22:55	44	13.7
2016-06-03T10:55	44	13.7
2016-06-05T22:55	44	13.7
2016-06-08T10:55	45	13.7
2016-06-10T22:55	45	13.7
2016-06-13T10:55	45	13.7
2016-06-15T22:55	45	13.7
2016-06-18T10:55	45	13.7
2016-06-20T22:55	45	13.7
2016-06-23T10:55	46	13.7
2016-06-25T22:55	46	13.7
2016-06-28T10:55	46	13.7
2016-06-30T22:55	46	13.7
2016-07-03T10:55	46	13.7
2016-07-05T22:55	47	13.7
2016-07-08T10:55	47	13.7
2016-07-10T22:55	47	13.7
2016-07-13T10:55	47	13.7
2016-07-15T22:55	47	13.7
2016-07-18T10:55	47	13.7
2016-07-20T22:55	48	13.7
2016-07-23T10:55	48	13.7
2016-07-25T22:55	48	13.6
2016-07-28T10:55	48	13.5
2016-07-30T22:55	48	13.7
2016-08-02T10:55	49	13.7
2016-08-04T22:55	49	13.7
2016-08-07T10:55	49	13.7
2016-08-09T22:55	49	13.7
2016-08-12T10:55	49	13.7
2016-08-14T22:55	50	13.7
2016-08-17T10:55	50	13.7
2016-08-19T22:55	50	13.7
2016-08-22T10:55	50	13.7
2016-08-24T22:55	50	13.7
2016-08-27T10:55	50	13.7
2016-08-29T22:55	51	13.7
2016-09-01T10:55	51	13.7
2016-09-03T22:55	51	13.7
2016-09-06T10:55	51	13.7
2016-09-08T22:55	51	13.7
2016-09-11T10:55	52	13.5
2016-09-13T22:55	52	13.7
2016-09-16T10:55	52	13.7
2016-09-18T22:55	52	13.7
2016-09-21T10:55	52	13.7
2016-09-23T22:55	52	13.7
2016-09-26T10:55	53	13.7
2016-09-28T22:55	53	13.7
2016-10-01T10:55	53	13.7
2016-10-03T22:55	53	13.7
2016-10-06T10:55	53	13.7
2016-10-08T22:55	54	13.7
2016-10-11T10:55	54	13.7
2016-10-13T22:55	54	13.7
2016-10-16T10:55	54	13.7
2016-10-18T22:55	54	13.7
2016-10-21T10:55	54	13.7
2016-10-23T22:55	55	13.7
2016-10-26T10:55	55	13.7
2016-10-28T22:55	55	13.7
2016-10-31T10:55	55	13.7
2016-11-02T22:55	55	13.7
2016-11-05T10:55	56	13.7
2016-11-07T22:55	56	13.7
2016-11-10T10:55	56	13.7
2016-11-12T22:55	56	13.7
2016-11-15T10:55	56	13.7
2016-11-17T22:55	56	13.7
2016-11-20T10:55	57	13.7
2016-11-22T22:55	57	13.7
2016-11-25T10:55	57	13.7
2016-11-27T22:55	57	13.7
2016-11-30T10:55	57	13.7
2016-12-02T22:55	58	13.7
2016-12-05T10:55	58	13.7
2016-12-07T22:55	58	13.7
2016-12-10T10:55	58	13.7
2016-12-12T22:55	58	13.7
2016-12-15T10:55	59	13.7
2016-12-17T22:55	59	13.7
2016-12-20T10:55	59	13.7
2016-12-22T22:55	59	13.7
2016-12-25T10:55	60	13.7
2016-12-27T22:55	60	13.7
2016-12-30T10:55	60	13.7
2017-01-01T22:55	60	13.7
2017-01-04T10:55	60	13.7
2017-01-06T22:55	60	13.7
2017-01-09T10:55	61	13.7
2017-01-11T22:55	61	13.7
2017-01-14T10:55	61	13.7
2017-01-16T22:55	61	13.7
2017-01-19T10:55	61	13.5
2017-01-21T22:55	62	13.7
2017-01-24T10:55	62	13.7
2017-01-26T22:55	62	13.7
2017-01-29T10:55	62	13.7
2017-01-31T22:55	62	13.7
2017-02-03T10:55	62	13.7
2017-02-05T22:55	63	13.7
2017-02-08T10:55	63	13.7
2017-02-10T22:55	63	13.7
2017-02-13T10:55	63	13.7
2017-02-15T22:55	63	13.7
2017-02-18T10:55	64	13.7
2017-02-20T22:55	64	13.7
2017-02-23T10:55	64	13.7
2017-02-25T22:55	64	13.7
2017-02-28T10:55	64	13.7
2017-03-02T22:55	65	13.7
2017-03-05T10:55	65	13.7
2017-03-07T22:55	65	13.7
2017-03-10T10:55	65	13.7
2017-03-12T22:55	65	13.7
2017-03-15T10:55	65	13.7
2017-03-17T22:55	66	13.7
2017-03-20T10:55	66	13.7
2017-03-22T22:55	66	13.7
2017-03-25T10:55	66	13.7
2017-03-27T22:55	66	13.7
2017-03-30T10:55	67	13.7
2017-04-01T22:55	67	13.7
2017-04-04T10:55	67	13.7
2017-04-06T22:55	67	13.7
2017-04-09T10:55	67	13.7
2017-04-11T22:55	67	13.7
2017-04-14T10:55	68	13.7
2017-04-16T22:55	68	13.7
2017-04-19T10:55	68	13.7
2017-04-21T22:55	68	13.7
2017-04-24T10:55	68	13.7
2017-04-26T22:55	69	13.7
2017-04-29T10:55	69	13.7
2017-05-01T22:55	69	13.7
2017-05-04T10:55	69	13.7
