date	prs
2014-10-31T06:15	8193.646
2014-10-31T08:15	8193.958
2014-10-31T10:15	8193.927
2014-10-31T12:15	8194.034
2014-10-31T14:15	8194.037
2014-11-10T18:15	8196.973
2014-11-10T20:15	8196.818
2014-11-10T22:15	8196.787
2014-11-11T00:15	8196.668
2014-11-11T02:15	8196.944
2014-11-11T04:15	8196.821
2014-11-11T06:15	8196.953
2014-11-11T08:15	8197.011
2014-11-11T10:15	8196.859
2014-11-11T12:15	8196.57
2014-11-11T14:15	8196.387
2014-11-11T16:15	8196.083
2014-11-11T18:15	8196.002
2014-11-11T20:15	8195.868
2014-11-11T22:15	8195.662
2014-11-12T00:15	8195.619
2014-11-12T02:15	8195.654
2014-11-12T04:15	8195.724
2014-11-12T06:15	8195.819
2014-11-12T08:15	8196.087
2014-11-12T10:15	8196.09
2014-11-12T12:15	8195.954
2014-11-12T14:15	8195.879
2014-11-12T16:15	8195.926
2014-11-12T18:15	8196.056
2014-11-12T20:15	8196.042
2014-11-12T22:15	8195.938
2014-11-13T00:15	8196.078
2014-11-13T02:15	8196.009
2014-11-13T04:15	8196.354
2014-11-13T06:15	8196.381
2014-11-13T08:15	8196.704
2014-11-13T10:15	8196.504
2014-11-13T12:15	8196.64
2014-11-13T14:15	8196.435
2014-11-13T16:15	8196.378
2014-11-13T18:15	8196.416
2014-11-13T20:15	8196.411
2014-11-13T22:15	8196.393
2014-11-14T00:15	8196.505
2014-11-14T02:15	8196.624
2014-11-14T04:15	8196.595
2014-11-14T06:15	8196.827
2014-11-14T08:15	8196.733
2014-11-14T10:15	8196.648
2014-11-14T12:15	8196.628
2014-11-14T14:15	8196.6
2014-11-14T16:15	8196.467
2014-11-14T18:15	8196.295
2014-11-14T20:15	8196.555
2014-11-14T22:15	8196.671
2014-11-15T00:15	8196.486
2014-11-15T02:15	8196.404
2014-11-15T04:15	8196.285
2014-11-15T06:15	8196.394
2014-11-15T08:15	8196.479
2014-11-15T10:15	8196.239
2014-11-15T12:15	8196.386
2014-11-15T14:15	8196.443
2014-11-15T16:15	8196.201
2014-11-15T18:15	8196.286
2014-11-15T20:15	8196.331
2014-11-15T22:15	8196.344
2014-11-16T00:15	8196.365
2014-11-16T02:15	8196.244
2014-11-16T04:15	8196.555
2014-11-16T06:15	8196.584
2014-11-16T08:15	8196.855
2014-11-16T10:15	8196.803
2014-11-16T12:15	8197.035
2014-11-16T14:15	8196.681
2014-11-16T16:15	8196.884
2014-11-16T18:15	8196.894
2014-11-16T20:15	8196.701
2014-11-16T22:15	8196.946
2014-11-17T00:15	8196.929
2014-11-17T02:15	8196.864
2014-11-17T04:15	8196.954
2014-11-17T06:15	8197.08
2014-11-17T08:15	8197.077
2014-11-17T10:15	8197.063
2014-11-17T12:15	8197.133
2014-11-17T14:15	8197.14
2014-11-17T16:15	8197.266
2014-11-17T18:15	8197.735
2014-11-17T20:15	8197.419
2014-11-17T22:15	8197.464
2014-11-18T00:15	8197.383
2014-11-18T02:15	8197.428
2014-11-18T04:15	8197.376
2014-11-18T06:15	8197.279
2014-11-18T08:15	8196.988
2014-11-18T10:15	8196.922
2014-11-18T12:15	8197.112
2014-11-18T14:15	8196.974
2014-11-18T16:15	8197.138
2014-11-18T18:15	8197.288
2014-11-18T20:15	8197.275
2014-11-18T22:15	8197.053
2014-11-19T00:15	8197.163
2014-11-19T02:15	8197.178
2014-11-19T04:15	8197.389
2014-11-19T06:15	8197.396
2014-11-19T08:15	8197.186
2014-11-19T10:15	8197.455
2014-11-19T12:15	8197.067
2014-11-19T14:15	8197.164
